UNITNAME,code,colour
Wilki Formation,P__LAw_stq,#EFDCD7
Willy Willy Formation,P__MSy_kds,#F2C471
Wilson Well Gneiss,A_TAww_mgtn,#F066B6
Wilthorpe Formation,P__PAw_scq,#F1D8BD
Windimurra Igneous Complex,A_ANwi_am,#9FD7D6
Windimurra Igneous Complex,A_ANwi_xmog_mg,#9FD7D6
"Windimurra Igneous Complex, border zone",A_ANwb_mog,#0F9B99
"Windimurra Igneous Complex, lower zone",A_ANwl_xol_oml,#6FC3C2
"Windimurra Igneous Complex, middle zone",A_ANwm_xog_oml,#6FC3C2
"Windimurra Igneous Complex, roof zone",A_ANwr_xogp_od,#87CDCC
"Windimurra Igneous Complex, ultramafic zone",A_ANwu_xmad_oa,#A699FC
"Windimurra Igneous Complex, upper zone",A_ANwz_xoml_am,#CFEBEB
Winnama Formation,P___wi_xmd_mw,#F1EDD1
Winning Group,K_WN_sf,#DFFEB8
Wirku Metamorphics,P___wm_mh,#FDD7BB
Wirrildar beds,E__wr_xst_kd,#EAA8DF
Wittenoom Formation,A_HAd_kd,#E0CABF
Woblegun Formation,P__MNw_sf,#F7B297
Wogala Suite,A_BRO_gfv,#FCC1D8
Wolline Monzogranite,A_CEwo_gmp,#F8BEE0
Wongarlong Formation,P__TAo_ssqv,#F7D886
Wongawol Formation,P__EMo_sf,#D5B9AA
Wonyulgunna Sandstone,P__MSw_st,#EEB041
Woodada Formation,R__wo_ss,#A3FBE5
Woodbrook Formation,A_WHw_f,#FED473
Woodline Formation,P___wo_s,#FBE7D4
Woodrarrung Sandstone,P__BDw_st,#F9DF9E
Woodstock Monzogranite,A_STwo_gm,#FEBFBA
Woodward Dolerite,P___wd_mod,#78DEA4
Woolgra Andesite Member,A_POgw_fa,#E8FBFE
Wooly Dolomite,P___wy_kd,#BEE2F8
Woongarra Rhyolite,P__HAw_fr,#CAA894
Woora Woora Formation,P__DIw_ss,#FAE7B6
Wooramel Group,P_WO_ss,#84CDFA
Wotjulum Porphyry,P___wj_gmap,#FECFCB
Wyloo Group,P__WY_s,#E2B07B
Wyloo Inlier greenstones,A_b_PWY,#C4FEC6
Wyman Formation,A_KEw_xf_s,#FED473
Yalgowra Suite,A_SDY_xod_og,#D3E6D8
Yaloginda Formation,A_NOy_cx,#CDFCB9
Yaloginda Formation,A_NOy_xf_cib,#FEDC6E
Yamarna Terrane greenstones,A_bb_YYA,#C4FEC6
Yamarna Terrane greenstones,A_bbg_YYA,#C4FEC6
Yamarna Terrane greenstones,A_cc_YYA,#6BC3F9
Yamarna Terrane greenstones,A_mbs_YYA,#3CFD41
Yamarna Terrane greenstones,A_mds_YYA,#DAD2CF
Yamarna Terrane greenstones,A_mfas_YYA,#FDD03E
Yamarna Terrane greenstones,A_mfsf_YYA,#FEE79F
Yamarna Terrane greenstones,A_mfss_YYA,#FEE79F
Yamarna Terrane greenstones,A_mnqf_YYA,#CFDAD7
Yamarna Terrane greenstones,A_ms_YYA,#E7ECEB
Yamarna Terrane greenstones,A_muts_YYA,#E9E6FE
Yamarna Terrane greenstones,A_mwa_YYA,#63FD67
Yamarna Terrane greenstones,A_mws_YYA,#63FD67
Yamarna Terrane greenstones,A_og_YYA,#8EE4B4
Yamarna Terrane greenstones,A_s_YYA,#E3DDDB
Yamarna Terrane greenstones,A_xb_og_YYA,#8AFE8D
Yamarna Terrane greenstones,A_xmb_g_YYA,#B1FEB3
Yamarna Terrane greenstones,A_xmbs_mds_YYA,#63FD67
Yamarna Terrane greenstones,A_xmbs_mu_YYA,#B1FEB3
Yamarna Terrane greenstones,A_xmnqf_mgss_YYA,#CFDAD7
Yamarna Terrane greenstones,A_xmws_mfs_YYA,#63FD67
Yamarna Terrane greenstones,A_xmws_mgss_YYA,#63FD67
Yamarna Terrane greenstones,A_xmws_mus_YYA,#63FD67
Yampi Formation,P__KMy_sta,#ECCBA7
Yandagooge Formation,P___ya_mls,#FEDC6E
Yandanooka Group,P__YA_s,#F5D06E
Yandanunyah Formation,P__TAy_sk,#F5D06E
Yandeearra Granodiorite,A_STyn_gg,#FEAEA9
Yannery Granite,A_STya_gfh,#FEBFBA
Yarlarweelor Gneiss Complex unit,A_mg_YNAY,#FEAEA9
Yarlarweelor Gneiss Complex unit,AP__mgn_YNAY,#FEC1E1
Yarlarweelor Gneiss Complex unit,AP__mgnl_YNAY,#FEC1E1
Yarragadee Formation,J__ya_st,#6FFDB6
Yarraloola Conglomerate,K__ya_sc,#C9FE8A
Yarrawolya Formation,P__BDy_sf,#F9DF9E
Yelma Formation,P__ETy_sz,#C0967F
Yilgarn Craton granites,A_g_Y,#FECFCB
Yilgarn Craton granites,A_gc_Y,#FE9E98
Yilgarn Craton granites,A_gch_Y,#FD5E53
Yilgarn Craton granites,A_gf_Y,#FECFCB
Yilgarn Craton granites,A_gfl_Y,#FD5E53
Yilgarn Craton granites,A_gg_Y,#FEAEA9
Yilgarn Craton granites,A_ggi_Y,#FEAEA9
Yilgarn Craton granites,A_gi_Y,#FEAEA9
Yilgarn Craton granites,A_gm_Y,#FECFCB
Yilgarn Craton granites,A_gmb_Y,#FECFCB
Yilgarn Craton granites,A_gmfp_Y,#FECFCB
Yilgarn Craton granites,A_gmi_Y,#FD5E53
Yilgarn Craton granites,A_gmp_Y,#FECFCB
Yilgarn Craton granites,A_gmys_Y,#FECFCB
Yilgarn Craton granites,A_gn_Y,#FD5E53
Yilgarn Craton granites,A_gnap_Y,#FEADD7
Yilgarn Craton granites,A_gp_Y,#FD319A
Yilgarn Craton granites,A_gt_Y,#FECFCB
Yilgarn Craton granites,A_gy_Y,#FECFCB
Yilgarn Craton granites,A_jgm_mn_Y,#FECFCB
Yilgarn Craton granites,A_mgi_Y,#FEAEA9
Yilgarn Craton granites,A_mgm_Y,#FEBFBA
Yilgarn Craton granites,A_mgn_Y,#FE6FB8
Yilgarn Craton granites,A_mgnl_Y,#FE98CC
Yilgarn Craton granites,A_mgno_Y,#FFDFDD
Yilgarn Craton granites,A_mgs_Y,#FEBFBA
Yilgarn Craton granites,A_mgsb_Y,#FECFCB
Yilgarn Craton granites,A_mgss_Y,#FECFCB
Yilgarn Craton granites,A_mgtn_Y,#DAD2CF
Yilgarn Craton granites,A_xg_b_Y,#FECFCB
Yilgarn Craton granites,A_xg_mb_Y,#FEAEA9
Yilgarn Craton granites,A_xgm_gg_Y,#FECFCB
Yilgarn Craton granites,A_xgm_gr_Y,#FEAEA9
Yilgarn Craton granites,A_xmgm_mwa_Y,#FEBFBA
Yilgarn Craton granites,A_xmgn_mgss_Y,#FECFCB
Yilgarn Craton granites,A_xmgnb_mgmn_Y,#FECFCB
Yilgarn Craton granites,A_xmgni_mwa_Y,#FEBFBA
Yilgarn Craton granites,A_xmgs_mb_Y,#FECFCB
Yilgarn Craton granites,A_xmgs_mi_Y,#FECFCB
Yilgarn Craton granites,A_xmgss_mba_Y,#FECFCB
Yilgarn Craton granites,A_xmgss_mbs_Y,#FECFCB
Yilgarn Craton granites,A_xmgss_mw_Y,#FECFCB
Yilgarn Craton granites,A_xmgss_mwa_Y,#FECFCB
Yilgarn Craton metamorphic unit,A_mn_Y,#B7B8B8
"Youanmi Igneous Complex, border zone",A_ANyb_od,#45D555
"Youanmi Igneous Complex, lower zone",A_ANyl_xogx_mat,#74E07F
"Youanmi Igneous Complex, middle zone",A_ANym_xom_og,#8BE594
"Youanmi Igneous Complex, upper zone",A_ANyz_xam_ogl,#D5DBFD
Youanmi Terrane greenstones,A_a_YYO,#E2F0FE
Youanmi Terrane greenstones,A_b_YYO,#C4FEC6
Youanmi Terrane greenstones,A_bb_YYO,#8AFE8D
Youanmi Terrane greenstones,A_bs_YYO,#3CFD41
Youanmi Terrane greenstones,A_cx_YYO,#C5E2FE
Youanmi Terrane greenstones,A_f_YYO,#FEE8A6
Youanmi Terrane greenstones,A_mba_YYO,#8AFE8D
Youanmi Terrane greenstones,A_md_YYO,#E3DDDB
Youanmi Terrane greenstones,A_meax_YYO,#CFDAD7
Youanmi Terrane greenstones,A_mhsg_YYO,#F4B67D
Youanmi Terrane greenstones,A_mrqm_YYO,#FEBCB0
Youanmi Terrane greenstones,A_mtq_YYO,#DAD2CF
Youanmi Terrane greenstones,A_mu_YYO,#B1A6FC
Youanmi Terrane greenstones,A_mw_YYO,#78DEA4
Youanmi Terrane greenstones,A_mwa_YYO,#63FD67
Youanmi Terrane greenstones,A_o_YYO,#BCEED2
Youanmi Terrane greenstones,A_s_YYO,#BBC8CE
Youanmi Terrane greenstones,A_u_YYO,#B1A6FC
Youanmi Terrane greenstones,A_uk_YYO,#D3CCFD
Youanmi Terrane greenstones,A_xbb_cl_YYO,#9EFEA0
Youanmi Terrane greenstones,A_xbb_og_YYO,#B1FEB3
Youanmi Terrane greenstones,A_xc_o_YYO,#6BC3F9
Youanmi Terrane greenstones,A_xcx_uk_YYO,#3AAFF7
Youanmi Terrane greenstones,A_xmb_mg_YYO,#A5E9C3
Youanmi Terrane greenstones,A_xmb_mu_YYO,#B1FEB3
Youanmi Terrane greenstones,A_xmba_mus_YYO,#3CFD41
Youanmi Terrane greenstones,A_xmc_mwa_YYO,#3AAFF7
Youanmi Terrane greenstones,A_xmd_mu_YYO,#BFB1AC
Youanmi Terrane greenstones,A_xmuk_mi_YYO,#D3CCFD
Youanmi Terrane greenstones,A_xmwa_mc_YYO,#76FE7A
Youanmi Terrane greenstones,A_xmwo_mwa_YYO,#76FE7A
Ziggy Monzogranite,A__zi_gm,#FA99F9
Zulu Granodiorite,A_EMzu_gg,#F492CA
